,Load_kWh,PV_kWh,Price_EUR_kWh,Band,Grid_Import_kWh,Batt_Ch_kWh,Batt_Dis_kWh,SOC_kWh,PV_Use_kWh,PV_Ch_kWh,PV_Curt_kWh
2025-07-19 03:00:00,39.745369574549436,0.041577953,0.106513,F3,39.745369574549436,0.041577953,0.0,1.1554472161605904,0.0,0.041577953,0.0
2025-07-19 04:00:00,44.02476780969424,0.040867730000000005,0.106513,F3,44.02476780969424,0.040867730000000005,0.0,1.1948915257388197,0.0,0.040867730000000005,0.0
2025-07-19 05:00:00,38.15876729180856,0.04357562,0.106513,F3,38.15876729180856,0.04357562,0.0,1.2336620586190576,0.0,0.04357562,0.0
2025-07-19 06:00:00,47.966581975895586,1.0508683,0.106513,F3,47.966581975895586,1.0508683,0.0,1.2750015215152535,0.0,1.0508683,0.0
2025-07-19 07:00:00,43.00706135023348,3.4264082,0.120466,F2,38.37398232983348,0.0,1.2066708203999998,2.27194272617599,3.4264082,0.0,0.0
2025-07-19 08:00:00,45.684028824016735,5.95441,0.120466,F2,39.72961882401673,0.0,0.0,1.0,5.95441,0.0,0.0
2025-07-19 09:00:00,43.08320976484357,12.266513000000002,0.120466,F2,30.81669676484357,0.0,0.0,1.0,12.266513000000002,0.0,0.0
2025-07-19 10:00:00,39.80580747372806,13.587644000000001,0.120466,F2,26.218163473728058,0.0,0.0,1.0,13.587644000000001,0.0,0.0
2025-07-19 11:00:00,44.69953290238654,13.353639999999999,0.120466,F2,31.345892902386538,0.0,0.0,1.0,13.353639999999999,0.0,0.0
2025-07-19 12:00:00,40.36952753349782,12.642027,0.120466,F2,27.727500533497825,0.0,0.0,1.0,12.642027,0.0,0.0
2025-07-19 13:00:00,44.07006043715644,10.498524999999999,0.120466,F2,33.57153543715644,0.0,0.0,1.0,10.498524999999999,0.0,0.0
2025-07-19 14:00:00,49.92513229467801,15.146404,0.120466,F2,34.778728294678004,0.0,0.0,1.0,15.146404,0.0,0.0
2025-07-19 15:00:00,39.922648625100685,8.283504,0.120466,F2,31.639144625100684,0.0,0.0,1.0,8.283504,0.0,0.0
2025-07-19 16:00:00,45.07209484287306,5.9321904000000005,0.120466,F2,39.13990444287305,0.0,0.0,1.0,5.9321904000000005,0.0,0.0
2025-07-19 17:00:00,47.59091087744185,3.7627817,0.120466,F2,43.82812917744185,0.0,0.0,1.0,3.7627817,0.0,0.0
2025-07-19 18:00:00,59.18155725200004,2.2526565,0.120466,F2,56.92890075200004,0.0,0.0,1.0,2.2526565,0.0,0.0
2025-07-19 19:00:00,51.54676413942887,0.6167132000000001,0.120466,F2,50.930050939428874,0.0,0.0,1.0,0.6167132000000001,0.0,0.0
2025-07-19 20:00:00,48.73291792116912,0.061146500000000006,0.120466,F2,48.67177142116912,0.0,0.0,1.0,0.061146500000000006,0.0,0.0
2025-07-19 21:00:00,58.240827165929545,0.036896248,0.120466,F2,58.20393091792955,0.0,0.0,1.0,0.036896248,0.0,0.0
2025-07-19 22:00:00,54.035371975353115,0.040867730000000005,0.120466,F2,53.99450424535311,0.0,0.0,1.0,0.040867730000000005,0.0,0.0
2025-07-19 23:00:00,49.84908697887872,0.04146584,0.106513,F3,49.807621138878716,0.0,0.0,1.0,0.04146584,0.0,0.0
2025-07-20 00:00:00,39.541170387624746,0.04065445299999999,0.106513,F3,39.500515934624744,0.0,0.0,1.0,0.04065445299999999,0.0,0.0
2025-07-20 01:00:00,43.62553572710169,0.04065445299999999,0.106513,F3,43.58488127410169,0.0,0.0,1.0,0.04065445299999999,0.0,0.0
2025-07-20 02:00:00,41.84168826233877,0.040867730000000005,0.106513,F3,41.80082053233877,0.0,0.0,1.0,0.040867730000000005,0.0,0.0
